date,open,high,low,close,volume,amount_change,percent_change
2012-12-05,692.15,694.5,682.33,687.82,1862400,-4.33,-0.625587
2012-12-04,695,695.51,685.7,691.03,1991700,-3.97,-0.571223
2012-12-03,702.24,705.89,694.11,695.25,2192500,-6.99,-0.995386
2012-11-30,691.31,699.22,685.69,698.37,3163600,7.06,1.02125
2012-11-29,687.78,693.9,682,691.89,2776500,4.11,0.597575
2012-11-28,668.01,684.91,663.89,683.67,3042000,15.66,2.34428
2012-11-27,660.17,675,658,670.71,2508700,10.54,1.59656
2012-11-26,666.44,667,659.02,661.15,2204600,-5.29,-0.79377
2012-11-23,669.97,670,666.1,667.97,922500,-2,-0.298521
2012-11-21,668.99,669.8,660.4,665.87,2112200,-3.12,-0.466375
2012-11-20,669.51,678,664.57,669.97,2088700,0.46,0.068707
2012-11-19,655.7,668.92,655.53,668.21,2368200,12.51,1.90788
2012-11-16,645.99,653.02,636,647.18,3438200,1.19,0.184213
2012-11-15,650,660,643.9,647.26,1848900,-2.74,-0.421538
2012-11-14,660.66,662.18,650.5,652.55,1668400,-8.11,-1.22756
2012-11-13,663,667.6,658.23,659.05,1594200,-3.95,-0.595777
2012-11-12,663.75,669.8,660.87,665.9,1405900,2.15,0.323917
2012-11-09,654.65,668.34,650.3,663.03,3114100,8.38,1.28007
2012-11-08,670.2,671.49,651.23,652.29,2597000,-17.91,-2.67234
2012-11-07,675,678.23,666.49,667.12,2232300,-7.88,-1.16741
2012-11-06,685.48,686.5,677.55,681.72,1582800,-3.76,-0.548521
2012-11-05,684.5,686.86,675.56,682.96,1635900,-1.54,-0.224982
2012-11-02,694.79,695.55,687.37,687.92,2324400,-6.87,-0.988788
2012-11-01,679.5,690.9,678.72,687.59,2050100,8.09,1.19058
2012-10-31,679.86,681,675,680.3,1537000,0.44,0.0647192
2012-10-26,676.5,683.03,671.2,675.15,1950800,-1.35,-0.199557
2012-10-25,680,682,673.51,677.76,2401100,-2.24,-0.329412
2012-10-24,686.8,687,675.27,677.3,2496500,-9.5,-1.38323
2012-10-23,672.01,687.33,672,680.35,2916600,8.34,1.24105
2012-10-22,681.01,684.63,669.7,678.67,4055600,-2.34,-0.343607
2012-10-19,705.58,706.7,672,681.79,11482200,-23.79,-3.37169
2012-10-18,755.54,759.42,676,695,12442400,-60.54,-8.01281
2012-10-17,743.95,756.34,740.26,755.49,2292900,11.54,1.55118
2012-10-16,740.13,746.99,736.46,744.7,2058200,4.57,0.617459
2012-10-15,741.94,743.83,730.7,740.98,3019100,-0.96,-0.129391
2012-10-12,751.85,754.87,744.1,744.75,2404200,-7.1,-0.944337
2012-10-11,752.9,758.5,750.29,751.48,2383900,-1.42,-0.188604
2012-10-10,741.86,747.53,738.29,744.56,2039900,2.7,0.36395
2012-10-09,759.67,761.32,742.53,744.09,3003200,-15.58,-2.05089
2012-10-08,761,763.58,754.15,757.84,1958600,-3.16,-0.415243
2012-10-05,770.71,774.38,765.01,767.65,2735900,-3.06,-0.397036
2012-10-04,762.75,769.89,759.4,768.05,2454200,5.3,0.694854
2012-10-03,755.72,763.92,752.2,762.5,2208300,6.78,0.897158
2012-10-02,765.2,765.99,750.27,756.99,2790200,-8.21,-1.07292
2012-10-01,759.05,765,756.21,761.78,3168000,2.73,0.35966
2012-09-28,754.15,759.3,751.15,754.5,2783500,0.35,0.0464099
2012-09-27,759.95,762.84,751.65,756.5,3931100,-3.45,-0.453977
2012-09-26,749.85,761.24,741,753.46,5672900,3.61,0.48143
2012-09-25,753.05,764.89,747.66,749.16,6058500,-3.89,-0.516566
2012-09-24,731,750.04,730.25,749.38,3563800,18.38,2.51436
2012-09-21,732.21,734.92,730.12,733.99,6359100,1.78,0.2431
2012-09-20,724.47,731.38,721.22,728.12,2907400,3.65,0.503817
2012-09-19,717.5,728.56,716.41,727.5,3098300,10,1.39373
2012-09-18,707.78,718.66,706.78,718.28,2066800,10.5,1.48351
2012-09-17,708.11,712.88,705,709.98,1508300,1.87,0.264083
2012-09-14,709.6,713,707.01,709.68,2618500,0.08,0.011274
2012-09-13,693.09,709,690.54,706.04,2659000,12.95,1.86844
2012-09-12,689.41,694.91,680.88,690.88,2642300,1.47,0.213226
2012-09-11,697.96,700.65,691,692.19,1873800,-5.77,-0.826695
2012-09-10,709.76,712.81,698.39,700.77,2560000,-8.99,-1.26663
2012-09-07,700,712.25,697.67,706.15,3233000,6.15,0.878571
2012-09-06,685.96,699.89,684.73,699.4,3043500,13.44,1.9593
2012-09-05,680,686.5,679.14,680.72,1708200,0.72,0.105882
2012-09-04,684.55,685,673.5,681.04,1889600,-3.51,-0.512746
2012-08-31,684,688.58,680.04,685.09,2127100,1.09,0.159357
2012-08-30,684.24,687.39,680.18,681.68,1626900,-2.56,-0.374138
2012-08-29,677.37,688.99,676.15,688.01,2990300,10.64,1.57078
2012-08-28,665,677.62,664.74,677.25,2058600,12.25,1.84211
2012-08-27,662.99,672,659.24,669.22,2613700,6.23,0.939682
2012-08-24,675.6,680.45,674.08,678.63,1426600,3.03,0.44849
2012-08-23,674.27,680.48,671,676.8,1784200,2.53,0.375221
2012-08-22,667.38,680.6,666.7,677.18,1909200,9.8,1.46843
2012-08-21,673.11,678,662.17,669.51,2222200,-3.6,-0.534831
2012-08-20,675.5,678.87,672.66,675.54,1758100,0.04,0.00592154
2012-08-17,674.12,677.25,671.7,677.14,2177700,3.02,0.447991
2012-08-16,667.51,674.64,667.08,672.87,1717700,5.36,0.802984
2012-08-15,670.28,674.25,664.1,667.54,2410700,-2.74,-0.408784
2012-08-14,659.25,672.85,659,668.66,3661700,9.41,1.42738
2012-08-13,647.42,660.15,646.68,660.01,3267900,12.59,1.94464
2012-08-10,638.59,642.24,636.13,642,1434600,3.41,0.533989
2012-08-09,644.51,646.37,641.52,642.35,1070300,-2.16,-0.335138
2012-08-08,639.05,645.87,638.5,642.23,1322200,3.18,0.497614
2012-08-07,641.79,644.26,636.47,640.54,1981800,-1.25,-0.194768
2012-08-06,639.61,649.38,639.22,642.82,1782400,3.21,0.501868
2012-08-03,640,643.72,636.14,641.33,1897100,1.33,0.207813
2012-08-02,625.51,638.03,623.41,628.75,1977700,3.24,0.517977
2012-08-01,637.3,639.51,631.38,632.68,1844600,-4.62,-0.724933
2012-07-31,628.26,636.5,628.22,632.97,1865600,4.71,0.74969
2012-07-30,636.05,642.6,629.5,632.3,2186700,-3.75,-0.589576
2012-07-27,618.89,635,617.5,634.96,3549700,16.07,2.59658
2012-07-26,615,616.87,610.03,613.36,1685200,-1.64,-0.266667
2012-07-25,608.32,613.38,605.37,607.99,1823000,-0.33,-0.0542478
2012-07-24,615,617.93,604.34,607.57,2009400,-7.43,-1.20813
2012-07-23,600.48,618.35,598.25,615.51,3561700,15.03,2.503
2012-07-20,608.76,612.94,598.18,610.82,6463700,2.06,0.338393
2012-07-19,586.14,598.48,586,593.06,4674700,6.92,1.18061
2012-07-18,576.98,583.69,576.13,580.76,1548200,3.78,0.655135
2012-07-17,578.43,580.67,568.4,576.73,1680100,-1.7,-0.293899
2012-07-16,576.37,579.19,571.78,574.92,1462600,-1.45,-0.251575
2012-07-13,572.15,579.15,568.55,576.52,1976000,4.37,0.763786
2012-07-12,567.12,571.93,562.09,570.48,2309800,3.36,0.592467
2012-07-11,576.3,577.85,564.94,571.19,3499300,-5.11,-0.886691
2012-07-10,590.19,592.43,578.74,581.7,1923100,-8.49,-1.43852
2012-07-09,584.95,588.6,581.25,586.01,1715100,1.06,0.181212
2012-07-06,592.45,593.52,582.82,585.98,2161800,-6.47,-1.09208
2012-07-05,588.76,600.06,588.54,595.92,2345900,7.16,1.21612
2012-07-03,580.01,588.41,578,587.83,1189500,7.82,1.34825
2012-07-02,581.82,583,576.5,580.47,1655500,-1.35,-0.232031
2012-06-29,574.96,580.13,572.2,580.07,2519500,5.11,0.888757
2012-06-28,565.9,566.23,557.21,564.31,1920900,-1.59,-0.280968
2012-06-27,567.7,573.99,566.02,569.3,1692300,1.6,0.281839
2012-06-26,562.76,566.6,559.48,564.68,1350200,1.92,0.341176
2012-06-25,567.33,568.09,557.35,560.7,1581600,-6.63,-1.16863
2012-06-22,568,571.48,565.82,571.48,2227900,3.48,0.612676
2012-06-21,579.84,579.84,563.73,565.21,2011300,-14.63,-2.52311
2012-06-20,579.81,580,573.51,577.51,2346700,-2.3,-0.396682
2012-06-19,573.59,584.28,573.12,581.53,2076200,7.94,1.38426
2012-06-18,562.62,574.21,559.25,570.85,2496900,8.23,1.4628
2012-06-15,560.34,564.52,557.09,564.51,3001200,4.17,0.744191
2012-06-14,561.3,565.07,556.52,559.05,2344900,-2.25,-0.400855
2012-06-13,561.72,567,558.68,561.09,1954200,-0.63,-0.112156
2012-06-12,569.77,570.3,558.58,565.1,3224200,-4.67,-0.819629
2012-06-11,584.21,585.32,566.69,568.5,2661100,-15.71,-2.6891
2012-06-08,575.85,581,574.58,580.45,1410400,4.6,0.798819
2012-06-07,587.6,587.89,577.25,578.23,1758500,-9.37,-1.59462
2012-06-06,576.48,581.97,573.61,580.57,2095800,4.09,0.709478
2012-06-05,575.45,578.13,566.47,570.41,2339900,-5.04,-0.875836
2012-06-04,570.22,580.49,570.01,578.59,2432700,8.37,1.46785
2012-06-01,571.79,572.65,568.35,570.98,3057900,-0.81,-0.14166
2012-05-31,588.72,590,579,580.86,2968300,-7.86,-1.3351
2012-05-30,588.16,591.9,583.53,588.23,1906700,0.07,0.0119015
2012-05-29,595.81,599.13,588.32,594.34,2605700,-1.47,-0.246723
2012-05-25,601,601.73,588.28,591.53,3581900,-9.47,-1.57571
2012-05-24,609.16,611.92,598.87,603.66,1891300,-5.5,-0.902883
2012-05-23,601.65,609.6,597.12,609.46,3178100,7.81,1.2981
2012-05-22,613.44,613.81,596,600.8,3051900,-12.64,-2.06051
2012-05-21,600.51,615.69,600,614.11,3075400,13.6,2.26474
2012-05-18,625.1,632.42,596.7,600.4,5973500,-24.7,-3.95137
2012-05-17,633.83,637.85,621.23,623.05,3353800,-10.78,-1.70077
2012-05-16,617.96,630.1,615.94,628.93,4835100,10.97,1.7752
2012-05-15,605.35,615,603.75,611.11,2102100,5.76,0.951516
2012-05-14,600.78,608.5,600.58,604,1824400,3.22,0.53597
2012-05-11,610.35,614.55,604.77,605.23,2099400,-5.12,-0.838863
2012-05-10,612.96,616.19,610.23,613.66,1535900,0.7,0.1142
2012-05-09,606.82,616.38,601.81,609.15,2328800,2.33,0.383969
